well_id,geology,n_test,rmse_m,mae_m,r2,nse
CHHAT073-OW,Granite,13,1.422,1.073,0.06,0.06
CHHAT082-OW,Granite,13,1.422,0.764,-0.149,-0.149
CHHAT068-OW,Granite,13,1.425,1.106,-0.051,-0.051
SGR093-OW,Basalt,14,1.428,1.194,0.699,0.699
SGR057-OW,Basalt,14,1.43,1.168,0.794,0.794
CHHAT027-OW,Granite,13,1.431,0.987,-0.227,-0.227
CHHAT056-OW,Granite,13,1.433,1.214,-1.0,-1.0
SAGAR-PDS-019-PZ,Basalt,61,1.438,1.043,0.745,0.745
CHHAT004-OW,Granite,13,1.439,1.222,0.121,0.121
SGR066-OW,Basalt,14,1.443,1.301,0.357,0.357
CHHAT091-OW,Granite,13,1.444,1.133,0.16,0.16
CHHAT013-OW,Granite,12,1.448,1.22,-0.888,-0.888
SUJN139-OW,Basalt,14,1.449,1.055,0.338,0.338
CHHAT063-OW,Granite,13,1.45,1.172,0.194,0.194
SUJN105-OW,Basalt,14,1.453,1.128,0.852,0.852
BPL036A-OW,Basalt,14,1.453,1.254,0.664,0.664
SJBP010-OW,Unknown,12,1.458,1.11,-0.318,-0.318
SGUN035-OW,Basalt,14,1.459,1.297,0.795,0.795
SGUN037-OW,Basalt,14,1.463,1.295,0.777,0.777
Tikm-20-PZ,Granite,53,1.463,1.097,0.589,0.589
SJBP032-OW,Unknown,13,1.469,1.018,-1.0,-1.0
CHHAT098-OW,Granite,6,1.469,1.102,0.328,0.328
CHHAT036-OW,Granite,13,1.469,1.12,0.306,0.306
SUJN137-OW,Basalt,14,1.471,0.928,0.737,0.737
SGWL071-OW,Vindhyan,14,1.473,1.406,0.445,0.445
TKM010-OW,Granite,14,1.474,1.154,0.361,0.361
SUJN078-OW,Basalt,14,1.474,1.098,0.807,0.807
CHHAT061-OW,Granite,13,1.476,1.272,0.131,0.131
CHHAT003-OW,Granite,13,1.478,1.281,-0.114,-0.114
CHHAT024-OW,Granite,13,1.478,1.258,0.492,0.492
TKM005-OW,Granite,14,1.48,1.196,-0.148,-0.148
TKM053-OW,Granite,14,1.482,1.1,0.297,0.297
SJBP004-OW-A,Basalt,13,1.483,1.145,-0.02,-0.02
BPL067A-OW,Basalt,14,1.484,1.125,0.802,0.802
Sag-PZ-07,Vindhyan,61,1.485,1.072,0.833,0.833
TKM007-OW,Granite,14,1.487,1.212,0.112,0.112
SIND050-OW,Basalt,14,1.49,1.256,0.696,0.696
TKM017-OW,Granite,14,1.49,1.333,0.345,0.345
CHHAT09-OW,Granite,13,1.492,1.233,0.192,0.192
SGUN021-OW,Basalt,14,1.493,1.362,0.781,0.781
SAGAR014-PZ,Basalt,61,1.493,1.198,0.718,0.718
TKM064-OW,Granite,13,1.498,1.254,-0.216,-0.216
TKM029-OW,Granite,14,1.498,1.35,0.178,0.178
SIND024-OW,Basalt,14,1.501,0.982,0.645,0.645
TKM004-OW,Granite,14,1.501,1.303,0.08,0.08
SGR054-OW,Basalt,14,1.505,1.253,0.744,0.744
SGUN056-OW,Basalt,14,1.511,1.339,0.835,0.835
SIND076-OW,Basalt,14,1.511,1.263,0.253,0.253
TKM065-OW,Granite,13,1.512,1.325,0.109,0.109
TKM048-OW,Granite,14,1.514,1.324,0.397,0.397
SIND153-OW,Basalt,14,1.516,1.083,0.583,0.583
TKM002-OW,Granite,14,1.522,1.227,0.012,0.012
SIND138-OW,Basalt,14,1.523,1.131,0.661,0.661
SGR123-OW,Basalt,14,1.524,1.082,0.052,0.052
SGUN053A-OW,Basalt,14,1.529,1.29,0.783,0.783
SUJN027-OW,Basalt,14,1.534,1.24,0.685,0.685
SGWL085-OW,Vindhyan,14,1.538,1.279,0.337,0.337
Chhat006-PZ,Granite,29,1.539,1.153,0.081,0.081
SIND072-OW,Basalt,14,1.54,1.196,0.639,0.639
Chhat.008-PZ,Granite,55,1.542,1.267,0.569,0.569
CHHAT021-OW,Granite,13,1.544,1.231,-0.014,-0.014
SIND108-OW,Basalt,14,1.546,1.281,0.755,0.755
BPL040-OW,Basalt,14,1.55,1.342,0.528,0.528
CHHAT079-OW,Granite,13,1.554,1.278,-1.0,-1.0
SGR038-OW,Basalt,14,1.554,1.173,0.735,0.735
TKM019-OW,Granite,14,1.565,1.095,0.298,0.298
TKM024-OW,Granite,14,1.567,1.302,0.636,0.636
BPL-PZ-03,Basalt,50,1.573,1.274,0.481,0.481
SGUN028-OW,Basalt,14,1.576,1.34,0.705,0.705
TKM073-OW,Granite,14,1.578,1.187,0.436,0.436
TKM020-OW,Granite,14,1.579,1.292,-1.0,-1.0
SUJN106-OW,Basalt,14,1.581,1.267,0.843,0.843
SJBP030-OW-C,Unknown,14,1.582,1.366,-0.561,-0.561
SIND150-OW,Basalt,14,1.584,1.251,0.263,0.263
SUJN120-OW,Basalt,14,1.586,1.18,0.729,0.729
SIND167-OW,Basalt,14,1.586,1.117,0.578,0.578
CHHAT048-OW,Vindhyan,13,1.591,1.316,0.004,0.004
CHHAT005-OW,Unknown,9,1.599,1.468,-1.0,-1.0
BPL090A-OW,Basalt,14,1.6,1.33,0.665,0.665
SGR072-OW,Basalt,14,1.6,1.261,0.739,0.739
SGUN036-OW,Unknown,14,1.6,1.448,0.65,0.65
TKM094-OW,Granite,14,1.601,1.341,0.538,0.538
SGWL012-OW,Vindhyan,14,1.607,1.341,0.132,0.132
BPL050-OW,Basalt,14,1.608,1.358,0.705,0.705
TKM011-OW,Granite,14,1.612,1.271,0.165,0.165
BPL054-OW,Basalt,14,1.615,1.379,0.712,0.712
SUJN074-OW,Basalt,14,1.619,1.266,0.81,0.81
TKM078-OW,Granite,13,1.622,1.28,0.405,0.405
TKM045-OW,Granite,12,1.626,1.289,-0.131,-0.131
SIND154-OW,Basalt,14,1.632,1.162,0.753,0.753
SUJN109-OW,Basalt,14,1.64,1.218,0.47,0.47
BPL052A-OW,Basalt,14,1.64,1.48,0.642,0.642
SIND112-OW,Basalt,14,1.641,1.226,0.576,0.576
CHHAT037-OW,Granite,13,1.641,1.198,0.202,0.202
SIND067-OW,Basalt,14,1.649,1.295,0.331,0.331
SUJN112-OW,Basalt,14,1.655,1.396,0.881,0.881
TKM006-OW,Granite,14,1.658,1.536,0.403,0.403
CHHAT071-OW,Granite,9,1.661,1.219,0.019,0.019
Tikm-24-PZ,Granite,54,1.662,1.351,0.34,0.34
SUJN013-OW,Basalt,14,1.662,1.096,0.686,0.686
SGR107-OW,Vindhyan,14,1.669,1.397,0.694,0.694
Tikm003-PZ,Granite,46,1.674,1.211,0.459,0.459
SIND124-OW,Basalt,14,1.676,1.324,0.735,0.735
TKM030-OW,Granite,14,1.677,1.438,0.328,0.328
CHHAT016-OW,Granite,13,1.683,1.321,0.338,0.338
BPL-PZ-12,Vindhyan,50,1.698,1.287,0.493,0.493
Tikm001-PZ,Granite,47,1.701,1.365,0.768,0.768
TKM049-OW,Granite,14,1.704,1.373,0.143,0.143
SGR012-OW,Basalt,14,1.706,1.432,0.434,0.434
CHHAT025-OW,Granite,13,1.713,1.292,-0.245,-0.245
BPL-PZ-06,Basalt,50,1.715,1.245,0.4,0.4
CHHAT006-OW,Granite,13,1.716,1.498,0.16,0.16
BPL070-OW,Basalt,14,1.717,1.4,0.644,0.644
TKM056-OW,Granite,14,1.723,1.248,0.015,0.015
SGUN014-OW,Basalt,14,1.725,1.566,0.672,0.672
SJBP070-OW-A,Granite,11,1.73,1.166,-0.7,-0.7
SGR029-OW,Basalt,14,1.731,1.378,0.248,0.248
SUJN136-OW,Basalt,14,1.732,1.352,0.623,0.623
Chhat005-PZ,Granite,21,1.735,1.427,0.0,0.0
SGR120-OW,Basalt,14,1.739,1.497,0.595,0.595
SAGAR0010-PZ,Basalt,61,1.74,1.263,0.812,0.812
TKM095-OW,Granite,14,1.741,1.308,0.641,0.641
TKM075-OW,Granite,13,1.742,1.215,-0.912,-0.912
SUJN044-OW,Basalt,13,1.744,1.402,0.63,0.63
TKM042-OW,Granite,14,1.747,1.319,0.351,0.351
CHHAT065-OW,Granite,13,1.747,1.451,0.312,0.312
Tikm-22-PZ,Granite,52,1.748,1.283,0.32,0.32
BPL072-OW,Vindhyan,14,1.751,1.631,-0.115,-0.115
SGR039-OW,Basalt,14,1.751,1.36,0.615,0.615
SIND135-OW,Basalt,14,1.753,1.511,0.521,0.521
SGR101-OW,Basalt,14,1.753,1.365,0.64,0.64
