date,rainfall_mm,well_id,lat,lon
1991-04-01,7.3,SGWL047A-OW,26.115,78.011389
1991-05-01,4.9,SGWL047A-OW,26.115,78.011389
1991-06-01,23.3,SGWL047A-OW,26.115,78.011389
1991-07-01,281.90000000000003,SGWL047A-OW,26.115,78.011389
1991-08-01,426.3,SGWL047A-OW,26.115,78.011389
1991-09-01,89.8,SGWL047A-OW,26.115,78.011389
1991-10-01,0.0,SGWL047A-OW,26.115,78.011389
1991-11-01,8.3,SGWL047A-OW,26.115,78.011389
1991-12-01,21.8,SGWL047A-OW,26.115,78.011389
1992-01-01,13.1,SGWL047A-OW,26.115,78.011389
1992-02-01,0.7,SGWL047A-OW,26.115,78.011389
1992-03-01,0.7999999999999999,SGWL047A-OW,26.115,78.011389
1992-04-01,0.30000000000000004,SGWL047A-OW,26.115,78.011389
1992-05-01,12.100000000000001,SGWL047A-OW,26.115,78.011389
1992-06-01,5.1,SGWL047A-OW,26.115,78.011389
1992-07-01,155.0,SGWL047A-OW,26.115,78.011389
1992-08-01,251.6,SGWL047A-OW,26.115,78.011389
1992-09-01,87.7,SGWL047A-OW,26.115,78.011389
1992-10-01,81.8,SGWL047A-OW,26.115,78.011389
1992-11-01,2.0,SGWL047A-OW,26.115,78.011389
1992-12-01,0.0,SGWL047A-OW,26.115,78.011389
1993-01-01,1.9,SGWL047A-OW,26.115,78.011389
1993-02-01,34.599999999999994,SGWL047A-OW,26.115,78.011389
1993-03-01,8.600000000000001,SGWL047A-OW,26.115,78.011389
1993-04-01,4.199999999999999,SGWL047A-OW,26.115,78.011389
1993-05-01,9.6,SGWL047A-OW,26.115,78.011389
1993-06-01,87.10000000000001,SGWL047A-OW,26.115,78.011389
1993-07-01,123.8,SGWL047A-OW,26.115,78.011389
1993-08-01,105.4,SGWL047A-OW,26.115,78.011389
1993-09-01,217.2,SGWL047A-OW,26.115,78.011389
1993-10-01,5.1,SGWL047A-OW,26.115,78.011389
1993-11-01,0.0,SGWL047A-OW,26.115,78.011389
1993-12-01,0.0,SGWL047A-OW,26.115,78.011389
1994-01-01,36.7,SGWL047A-OW,26.115,78.011389
1994-02-01,4.6,SGWL047A-OW,26.115,78.011389
1994-03-01,1.5,SGWL047A-OW,26.115,78.011389
1994-04-01,9.2,SGWL047A-OW,26.115,78.011389
1994-05-01,0.7,SGWL047A-OW,26.115,78.011389
1994-06-01,101.3,SGWL047A-OW,26.115,78.011389
1994-07-01,575.3,SGWL047A-OW,26.115,78.011389
1994-08-01,272.6,SGWL047A-OW,26.115,78.011389
1994-09-01,34.5,SGWL047A-OW,26.115,78.011389
1994-10-01,0.0,SGWL047A-OW,26.115,78.011389
1994-11-01,0.0,SGWL047A-OW,26.115,78.011389
1994-12-01,0.0,SGWL047A-OW,26.115,78.011389
1995-01-01,38.9,SGWL047A-OW,26.115,78.011389
1995-02-01,2.5,SGWL047A-OW,26.115,78.011389
1995-03-01,9.2,SGWL047A-OW,26.115,78.011389
1995-04-01,4.1000000000000005,SGWL047A-OW,26.115,78.011389
1995-05-01,1.3,SGWL047A-OW,26.115,78.011389
1995-06-01,13.700000000000001,SGWL047A-OW,26.115,78.011389
1995-07-01,254.1,SGWL047A-OW,26.115,78.011389
1995-08-01,384.0,SGWL047A-OW,26.115,78.011389
1995-09-01,226.7,SGWL047A-OW,26.115,78.011389
1995-10-01,1.8,SGWL047A-OW,26.115,78.011389
1995-11-01,0.0,SGWL047A-OW,26.115,78.011389
1995-12-01,5.6,SGWL047A-OW,26.115,78.011389
1996-01-01,14.7,SGWL047A-OW,26.115,78.011389
1996-02-01,44.0,SGWL047A-OW,26.115,78.011389
1996-03-01,4.1,SGWL047A-OW,26.115,78.011389
1996-04-01,0.3,SGWL047A-OW,26.115,78.011389
1996-05-01,6.0,SGWL047A-OW,26.115,78.011389
1996-06-01,30.8,SGWL047A-OW,26.115,78.011389
1996-07-01,288.4,SGWL047A-OW,26.115,78.011389
1996-08-01,519.4,SGWL047A-OW,26.115,78.011389
1996-09-01,138.0,SGWL047A-OW,26.115,78.011389
1996-10-01,59.3,SGWL047A-OW,26.115,78.011389
1996-11-01,0.0,SGWL047A-OW,26.115,78.011389
1996-12-01,0.0,SGWL047A-OW,26.115,78.011389
1997-01-01,3.0,SGWL047A-OW,26.115,78.011389
1997-02-01,1.0,SGWL047A-OW,26.115,78.011389
1997-03-01,4.800000000000001,SGWL047A-OW,26.115,78.011389
1997-04-01,26.5,SGWL047A-OW,26.115,78.011389
1997-05-01,34.8,SGWL047A-OW,26.115,78.011389
1997-06-01,99.4,SGWL047A-OW,26.115,78.011389
1997-07-01,297.0,SGWL047A-OW,26.115,78.011389
1997-08-01,244.6,SGWL047A-OW,26.115,78.011389
1997-09-01,82.2,SGWL047A-OW,26.115,78.011389
1997-10-01,69.5,SGWL047A-OW,26.115,78.011389
1997-11-01,35.6,SGWL047A-OW,26.115,78.011389
1997-12-01,109.8,SGWL047A-OW,26.115,78.011389
1998-01-01,0.4,SGWL047A-OW,26.115,78.011389
1998-02-01,5.8,SGWL047A-OW,26.115,78.011389
1998-03-01,15.3,SGWL047A-OW,26.115,78.011389
1998-04-01,8.1,SGWL047A-OW,26.115,78.011389
1998-05-01,5.1000000000000005,SGWL047A-OW,26.115,78.011389
1998-06-01,79.4,SGWL047A-OW,26.115,78.011389
1998-07-01,574.0,SGWL047A-OW,26.115,78.011389
1998-08-01,148.5,SGWL047A-OW,26.115,78.011389
1998-09-01,153.7,SGWL047A-OW,26.115,78.011389
1998-10-01,25.0,SGWL047A-OW,26.115,78.011389
1998-11-01,2.8,SGWL047A-OW,26.115,78.011389
1998-12-01,0.0,SGWL047A-OW,26.115,78.011389
1999-01-01,6.4,SGWL047A-OW,26.115,78.011389
1999-02-01,13.0,SGWL047A-OW,26.115,78.011389
1999-03-01,0.0,SGWL047A-OW,26.115,78.011389
1999-04-01,0.0,SGWL047A-OW,26.115,78.011389
1999-05-01,10.100000000000001,SGWL047A-OW,26.115,78.011389
1999-06-01,38.2,SGWL047A-OW,26.115,78.011389
1999-07-01,172.9,SGWL047A-OW,26.115,78.011389
1999-08-01,167.0,SGWL047A-OW,26.115,78.011389
1999-09-01,132.5,SGWL047A-OW,26.115,78.011389
1999-10-01,65.39999999999999,SGWL047A-OW,26.115,78.011389
1999-11-01,0.0,SGWL047A-OW,26.115,78.011389
1999-12-01,2.4,SGWL047A-OW,26.115,78.011389
2000-01-01,0.7,SGWL047A-OW,26.115,78.011389
2000-02-01,0.7999999999999999,SGWL047A-OW,26.115,78.011389
2000-03-01,1.2,SGWL047A-OW,26.115,78.011389
2000-04-01,1.0,SGWL047A-OW,26.115,78.011389
2000-05-01,39.0,SGWL047A-OW,26.115,78.011389
2000-06-01,37.4,SGWL047A-OW,26.115,78.011389
2000-07-01,379.7,SGWL047A-OW,26.115,78.011389
2000-08-01,135.6,SGWL047A-OW,26.115,78.011389
2000-09-01,24.599999999999998,SGWL047A-OW,26.115,78.011389
2000-10-01,1.1,SGWL047A-OW,26.115,78.011389
2000-11-01,0.0,SGWL047A-OW,26.115,78.011389
2000-12-01,6.7,SGWL047A-OW,26.115,78.011389
2001-01-01,0.30000000000000004,SGWL047A-OW,26.115,78.011389
2001-02-01,0.9,SGWL047A-OW,26.115,78.011389
2001-03-01,2.1,SGWL047A-OW,26.115,78.011389
2001-04-01,21.8,SGWL047A-OW,26.115,78.011389
2001-05-01,25.6,SGWL047A-OW,26.115,78.011389
2001-06-01,167.5,SGWL047A-OW,26.115,78.011389
2001-07-01,263.7,SGWL047A-OW,26.115,78.011389
2001-08-01,132.2,SGWL047A-OW,26.115,78.011389
2001-09-01,12.7,SGWL047A-OW,26.115,78.011389
2001-10-01,19.1,SGWL047A-OW,26.115,78.011389
2001-11-01,0.0,SGWL047A-OW,26.115,78.011389
2001-12-01,0.0,SGWL047A-OW,26.115,78.011389
2002-01-01,14.3,SGWL047A-OW,26.115,78.011389
2002-02-01,45.89999999999999,SGWL047A-OW,26.115,78.011389
2002-03-01,0.30000000000000004,SGWL047A-OW,26.115,78.011389
2002-04-01,1.8,SGWL047A-OW,26.115,78.011389
2002-05-01,1.1,SGWL047A-OW,26.115,78.011389
2002-06-01,67.0,SGWL047A-OW,26.115,78.011389
2002-07-01,62.7,SGWL047A-OW,26.115,78.011389
2002-08-01,245.8,SGWL047A-OW,26.115,78.011389
2002-09-01,45.7,SGWL047A-OW,26.115,78.011389
2002-10-01,1.0,SGWL047A-OW,26.115,78.011389
2002-11-01,3.1,SGWL047A-OW,26.115,78.011389
2002-12-01,15.600000000000001,SGWL047A-OW,26.115,78.011389
