well_id,geology_type,aquifer_classification,confidence
SGR031-OW,Basalt,Weathered,1.0
SGR034-OW,Basalt,Weathered,1.0
SGR035-OW,Basalt,Weathered,1.0
SGR038-OW,Basalt,Weathered,1.0
SGR039-OW,Basalt,Weathered,1.0
SGR041-OW,Basalt,Unknown,0.5
SGR042-OW,Vindhyan,Weathered,1.0
SGR044-OW,Basalt,Weathered,1.0
SGR045-OW,Basalt,Weathered,1.0
SGR047-OW,Basalt,Weathered,1.0
SGR048-OW,Basalt,Weathered,1.0
SGR049-OW,Basalt,Weathered,1.0
SGR050-OW,Basalt,Weathered,1.0
SGR051-OW,Basalt,Weathered,1.0
SGR052-OW,Basalt,Weathered,1.0
SGR053-OW,Vindhyan,Weathered,1.0
SGR054-OW,Basalt,Weathered,1.0
SGR055-OW,Basalt,Weathered,1.0
SGR056-OW,Basalt,Weathered,1.0
SGR057-OW,Basalt,Weathered,1.0
SGR058-OW,Basalt,Weathered,1.0
SGR061-OW,Basalt,Weathered,1.0
SGR062-OW,Vindhyan,Weathered,0.5
SGR063-OW,Basalt,Weathered,1.0
SGR066-OW,Basalt,Weathered,1.0
SGR067-OW,Basalt,Weathered,1.0
SGR068-OW,Basalt,Weathered,1.0
SGR071-OW,Basalt,Weathered,1.0
SGR072-OW,Basalt,Weathered,1.0
SGR075-OW,Basalt,Weathered,1.0
SGR076-OW,Basalt,Weathered,1.0
SGR077-OW,Vindhyan,Weathered,1.0
SGR079-OW,Basalt,Weathered,1.0
SGR082-OW,Vindhyan,Unknown,0.67
SGR083-OW,Basalt,Unknown,0.67
SGR085A-OW,Basalt,Unknown,0.67
SGR086-OW,Basalt,Unknown,0.5
SGR087-OW,Basalt,Weathered,1.0
SGR088-OW,Basalt,Unknown,0.5
SGR089-OW,Basalt,Weathered,1.0
SGR090-OW,Vindhyan,Weathered,1.0
SGR092-OW,Basalt,Unknown,0.5
SGR093-OW,Basalt,Unknown,0.5
SGR094-OW,Basalt,Unknown,0.5
SGR095-OW,Basalt,Weathered,0.67
SGR096-OW,Vindhyan,Weathered,1.0
SGR097-OW,Basalt,Unknown,0.67
SGR098-OW,Granite,Unknown,0.5
SGR099-OW,Basalt,Unknown,0.5
SGR100-OW,Vindhyan,Weathered,0.67
SGR101-OW,Basalt,Weathered,1.0
SGR102-OW,Vindhyan,Unknown,0.5
SGR103-OW,Vindhyan,Weathered,1.0
SGR104-OW,Basalt,Weathered,0.5
SGR105-OW,Vindhyan,Weathered,1.0
SGR106-OW,Basalt,Weathered,1.0
SGR107-OW,Vindhyan,Unknown,0.5
SGR108-OW,Vindhyan,Weathered,1.0
SGR109-OW,Basalt,Unknown,0.5
