Well No,Well Type,District,Tahsil / Taluk,Block / Mandal,Village,Northing,Easting,Elevation of Ground Level,Aquifer Zone,Command Area,Coord Validated,geology_type,aquifer_classification
TKM080-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Phuter,24.863889,79.167222,277.45,,,False,Granite,Weathered
TKM081-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Khera,24.881111,79.205556,283.63,,,False,Granite,Weathered
TKM082-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Segora,24.857222,79.106389,297.23,,,False,Granite,Weathered
TKM083-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Chandpura,24.819444,79.190833,305.71,,,False,Granite,Weathered
TKM084A-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Kudeela,24.807778,79.223056,291.38,,,False,Granite,Unknown
TKM085A-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Nayanbaree,24.680833,78.965278,348.0,,,False,Granite,Weathered
TKM086-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Lar buzrug,25.004444,79.214167,355.64,,,False,Granite,Weathered
TKM087-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Budera,24.657778,79.091111,321.985,,,False,Granite,Weathered
TKM088-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Patha,24.689722,78.882222,365.18,,,False,Granite,Weathered
TKM089-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Madumar,24.711111,78.870833,358.88,,,False,Granite,Weathered
TKM090-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Samarra,24.638611,78.931111,370.69,,,False,Granite,Weathered
TKM091-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Khiriya Naka,24.600556,78.79,352.125,,,False,Granite,Weathered
TKM092-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Neem khera,24.673333,78.793056,348.47,,,False,Granite,Weathered
TKM093A-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Naya Khera,24.766389,78.790833,346.0,,,False,Granite,Weathered
TKM094-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Dhajrai,24.765833,78.915556,325.77,,,False,Granite,Weathered
TKM095-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Majna,24.833611,78.996667,297.965,,,False,Granite,Weathered
TKM096-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Ladwari 2,25.206111,78.719722,317.8,,,False,Granite,Weathered
TKM097A-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Hira Nagar,24.830556,78.820556,337.0,,,False,Granite,Weathered
TKM098-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Madiya,25.164444,78.738333,302.59,,,False,Granite,Weathered
TKM099-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Chandpura,25.2825,78.6575,234.07,,,False,Granite,Weathered
TKM100-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Ladwari 3,25.206111,78.719722,284.92,,,False,Granite,Weathered
